"","x"
"1",-1.71923
"2",-1.62211
"3",-2.45733
"4",1.66558
"5",3.03353
"6",-9.16219
"7",-3.24566
"8",-1.85163
"9",2.23864
"10",0.680641
"11",-8.44564
"12",5.50815
"13",-3.63166
"14",-3.28301
"15",6.5112
"16",-10.0324
"17",-6.59679
"18",-0.48287
"19",1.90135
"20",-3.54795
"21",-2.90736
"22",1.96104
"23",-8.96248
"24",-11.1999
"25",1.27656
"26",0.66972
"27",-0.355365
"28",3.07666
"29",10.3006
"30",2.34174
"31",2.30998
"32",-4.54876
"33",0.553547
"34",1.51746
"35",0.958385
"36",8.61717
"37",-0.474268
"38",2.69495
"39",-6.34399
"40",-8.57923
"41",10.5655
"42",-0.418766
"43",5.33429
"44",8.78242
"45",-7.36294
"46",1.01826
"47",9.18744
"48",-10.2315
"49",-1.52104
"50",6.70719
"51",3.17726
"52",6.9344
"53",0.873961
"54",-1.21855
"55",-1.99536
"56",-2.39137
"57",-1.10667
"58",-0.796034
"59",6.15135
"60",6.15231
"61",-6.03991
"62",-4.52647
"63",5.1646
"64",3.47297
"65",2.62183
"66",3.96497
"67",6.27322
"68",-2.68189
"69",4.30624
"70",8.64642
"71",-6.51457
"72",3.94736
"73",3.69048
"74",-5.28531
"75",6.35945
"76",-7.77067
"77",2.31275
"78",-5.32493
"79",-2.45821
"80",-3.86796
"81",6.86987
"82",1.48327
"83",6.10656
"84",8.92639
"85",-2.60512
"86",2.35502
"87",-0.476469
"88",0.135177
"89",4.63225
"90",-1.18521
"91",1.77012
"92",-5.53069
"93",6.44189
"94",4.95867
"95",-0.253441
"96",-5.94564
"97",-4.08894
"98",2.31201
"99",4.91931
"100",-0.291172
"101",3.658
"102",-4.83647
"103",9.20647
"104",1.80803
"105",0.485623
"106",-7.71317
"107",-1.27624
"108",-0.827633
"109",-0.363067
"110",-2.74823
"111",-4.77718
"112",5.38943
"113",-1.77102
"114",-0.293716
"115",9.75236
"116",10.2603
"117",9.28028
"118",4.06007
"119",4.81823
"120",-3.43713
"121",8.29414
"122",5.49501
"123",-4.13825
"124",-0.226411
"125",-7.61618
"126",-5.09003
"127",4.57391
"128",3.75476
"129",5.91943
"130",-0.341106
"131",1.22707
"132",-5.87534
"133",5.925
"134",6.51931
"135",5.43067
"136",-2.26666
"137",-10.4889
"138",1.55531
"139",8.13627
"140",3.70926
"141",6.23752
"142",-6.01692
"143",0.677676
"144",-0.429921
"145",-3.62952
"146",-1.93168
"147",-7.54406
"148",8.83128
"149",4.11599
"150",2.0121
"151",2.22059
"152",-3.60961
"153",3.84486
"154",5.61619
"155",-7.46992
"156",-3.48734
"157",10.6427
"158",-8.65205
"159",4.79857
"160",-0.63136
"161",9.65493
"162",-2.15099
"163",6.24305
"164",6.2684
"165",4.35574
"166",2.56776
"167",3.49717
"168",0.762469
"169",2.31061
"170",4.34627
"171",3.13829
"172",-3.42655
"173",-0.854328
"174",6.95267
"175",2.79351
"176",-3.71763
"177",-3.92855
"178",-7.08731
"179",-3.40416
"180",9.82785
"181",5.93202
"182",-1.53134
"183",8.66096
"184",-2.47968
"185",6.2161
"186",2.50902
"187",-6.81932
"188",4.50458
"189",-6.73531
"190",8.39894
"191",-10.3656
"192",2.84133
"193",2.84807
"194",-8.23008
"195",-9.02138
"196",3.25711
"197",-6.35673
"198",1.67139
"199",5.37137
"200",-0.897971
"201",-7.14875
"202",4.15817
"203",2.55554
"204",-5.50148
"205",6.39505
"206",-4.5953
"207",-1.19779
"208",-5.07914
"209",-1.56929
"210",10.4466
"211",0.385835
"212",-0.00501835
"213",0.278969
"214",2.40653
"215",-5.54149
"216",-1.61075
"217",1.62483
"218",2.07878
"219",-6.77515
"220",4.5167
"221",5.44037
"222",-0.726378
"223",9.9036
"224",12.7571
"225",15.625
"226",4.3243
"227",-2.46355
"228",0.418535
"229",-0.868872
"230",-3.0506
"231",-7.28708
"232",-11.2202
"233",-0.775077
"234",-0.694237
"235",-0.191186
"236",3.37073
"237",1.55574
"238",5.03113
"239",6.67875
"240",1.5236
"241",3.45481
"242",5.25125
"243",7.17733
"244",-2.00932
"245",-0.774151
"246",0.370706
"247",0.248661
"248",3.67144
"249",5.28606
"250",1.46122
"251",5.1528
"252",-9.77179
"253",9.25471
"254",-1.26907
"255",0.421216
"256",6.36007
"257",3.607
"258",-1.52689
"259",1.43027
"260",3.90982
"261",5.49473
"262",4.64774
"263",3.92644
"264",3.13544
"265",5.93877
"266",-0.439083
"267",-4.75219
"268",8.50215
"269",7.12708
"270",-0.614153
"271",-10.6064
"272",9.79672
"273",-0.958528
"274",2.6995
"275",-2.60315
"276",-1.5623
"277",8.96478
"278",0.925936
"279",8.4422
"280",-4.80395
"281",-9.90994
"282",-3.91225
"283",-6.41084
"284",-5.95
"285",6.08417
"286",-8.89528
"287",0.416302
"288",-5.36266
"289",1.63101
"290",-4.71091
"291",-3.19908
"292",4.30226
"293",1.63783
"294",7.2851
"295",1.3517
"296",0.198243
"297",-4.47324
"298",-0.998825
"299",2.06512
"300",-1.89883
"301",3.50836
"302",5.87387
"303",-3.1437
"304",1.78744
"305",-1.50025
"306",-8.76746
"307",-4.70816
"308",6.12339
"309",2.94424
"310",-0.95304
"311",-5.08591
"312",0.105038
"313",-1.48684
"314",5.11078
"315",-3.04543
"316",0.193305
"317",1.81252
"318",-0.689719
"319",5.53463
"320",-1.3511
"321",-4.77118
"322",7.74629
"323",7.27039
"324",10.8668
"325",4.77253
"326",7.9172
"327",-3.41761
"328",-1.23449
"329",3.24375
"330",5.29612
"331",-8.24851
"332",-4.61494
"333",-3.62384
"334",-5.23845
"335",0.661361
"336",3.68313
"337",2.02135
"338",-0.552439
"339",-5.01245
"340",-11.9183
"341",-5.11746
"342",7.89718
"343",3.64582
"344",-10.3406
"345",5.77628
"346",-4.51594
"347",-2.73194
"348",11.4628
"349",4.63894
"350",2.33411
"351",6.00401
"352",11.901
"353",5.68458
"354",-3.2098
"355",4.32639
"356",5.12559
"357",6.78751
"358",-0.947481
"359",3.39163
"360",1.38041
"361",-6.56416
"362",0.577462
"363",3.22916
"364",6.6016
"365",5.85345
"366",2.69876
"367",-0.686951
"368",0.959547
"369",-2.17467
"370",11.9351
"371",4.7839
"372",0.901563
"373",6.55444
"374",2.72849
"375",3.92813
"376",-4.58387
"377",2.96724
"378",-7.27071
"379",0.0660369
"380",3.02262
"381",4.88435
"382",2.06237
"383",0.510735
"384",1.95221
"385",3.91892
"386",-0.653367
"387",3.50212
"388",-5.98331
"389",-2.3259
"390",-5.60638
"391",4.21348
"392",1.12739
"393",0.241718
"394",-0.82472
"395",0.749135
"396",2.09411
"397",1.10608
"398",8.6218
"399",3.74312
"400",-3.21811
"401",4.35155
"402",-2.1014
"403",-3.60819
"404",1.41441
"405",0.509798
"406",-0.749158
"407",1.59192
"408",-2.24459
"409",-8.57434
"410",1.20812
"411",-0.624863
"412",-1.51776
"413",6.52968
"414",1.60372
"415",2.48819
"416",-0.460875
"417",4.00219
"418",-4.01657
"419",-2.73389
"420",0.560277
"421",5.15492
"422",2.91117
"423",-2.96281
"424",-1.82765
"425",-4.63257
"426",1.94799
"427",6.34064
"428",2.63704
"429",0.519537
"430",5.9625
"431",0.888645
"432",-13.1398
"433",11.6279
"434",3.62979
"435",6.71227
"436",11.6588
"437",-1.70275
"438",1.15645
"439",-0.471438
"440",-2.86695
"441",-6.88405
"442",-2.88658
"443",4.27129
"444",-0.119061
"445",-4.44458
"446",3.72238
