"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"beta0",-7.68962176650533,-7.122805,-5.67015766263372,6086.1,0.95,-21.3753,4.20137,NA,NA,NA,NA,NA,NA,NA
"beta[1]",0.504004675933333,0.5004805,0.498092030192431,3683.1,0.95,0.360794,0.665382,NA,NA,NA,NA,NA,NA,NA
"beta[2]",2.88929802600993,0.3733745,0.249482160793718,8429.4,0.95,-10.9334,18.2288,NA,NA,NA,NA,NA,NA,NA
"beta[3]",-0.00829059915533333,-0.00828213,-0.00828904827216361,1855.2,0.95,-0.00941317,-0.00709933,NA,NA,NA,NA,NA,NA,NA
"beta[4]",0.72888718567842,0.132394,0.0392915451025448,9777.6,0.95,-2.58953,4.39902,NA,NA,NA,NA,NA,NA,NA
"beta[5]",-0.973304032443733,-0.5005025,-0.172086832236243,22.3,0.95,-5.64602,4.20972,NA,NA,NA,NA,NA,NA,NA
"beta[6]",-2.25459128399333,-2.55557,-2.55821115661338,20.4,0.95,-4.27017,-0.760435,NA,NA,NA,NA,NA,NA,NA
"beta[7]",0.910301758708,0.848646,0.142281560794729,13099.3,0.95,-8.69155,10.7222,NA,NA,NA,NA,NA,NA,NA
"zbeta0",-3.73396158333333,-3.73226,-3.73127427094675,2934.3,0.95,-3.84955,-3.62044,NA,NA,NA,NA,NA,NA,NA
"zbeta[1]",0.194549698646667,0.1931895,0.192267449162845,3683.1,0.95,0.139269,0.256842,NA,NA,NA,NA,NA,NA,NA
"zbeta[2]",0.703405707075907,0.0908989,0.0607303297926345,8429.4,0.95,-2.66176,4.43784,NA,NA,NA,NA,NA,NA,NA
"zbeta[3]",-0.754459919666667,-0.753689,-0.754320257187988,1855.2,0.95,-0.858042,-0.647479,NA,NA,NA,NA,NA,NA,NA
"zbeta[4]",0.77202709566372,0.14023,0.0416170819534054,9777.6,0.95,-2.7428,4.65938,NA,NA,NA,NA,NA,NA,NA
"zbeta[5]",-0.65624944762982,-0.3374635,-0.116030389071224,22.3,0.95,-3.80683,2.8384,NA,NA,NA,NA,NA,NA,NA
"zbeta[6]",-0.933706388522,-1.05835,-1.0594491124627,20.4,0.95,-1.76843,-0.314923,NA,NA,NA,NA,NA,NA,NA
"zbeta[7]",0.365691505120867,0.340923,0.0571666418397214,13099.3,0.95,-3.49162,4.3074,NA,NA,NA,NA,NA,NA,NA
"delta0",1,1,0.9992278092193,0,0.95,1,1,NA,NA,NA,NA,NA,NA,NA
"delta[1]",1,1,0.9992278092193,0,0.95,1,1,NA,NA,NA,NA,NA,NA,NA
"delta[2]",0.3152,0,0.00120877624711277,1093.1,0.95,0,1,NA,NA,NA,NA,NA,NA,NA
"delta[3]",1,1,0.9992278092193,0,0.95,1,1,NA,NA,NA,NA,NA,NA,NA
"delta[4]",0.2532,0,-0.000735996352289103,1255.2,0.95,0,1,NA,NA,NA,NA,NA,NA,NA
"delta[5]",0.432133333333333,0,0.000509855768695555,73.3,0.95,0,1,NA,NA,NA,NA,NA,NA,NA
"delta[6]",0.950733333333333,1,1.00062718858447,10.9,0.95,1,1,NA,NA,NA,NA,NA,NA,NA
"delta[7]",0.00946666666666667,0,-0.000294364812873746,812.9,0.95,0,0,NA,NA,NA,NA,NA,NA,NA
"guess",0.0030673762463136,0.002383245,0.000651579952517491,4608.3,0.95,1.83144e-07,0.00822509,NA,NA,NA,NA,NA,NA,NA
