"","x"
"1",0.00220531
"2",0.00758154
"3",0.00795169
"4",0.00444535
"5",0.00275163
"6",0.0048034
"7",0.000568393
"8",0.0035474
"9",0.00785798
"10",0.000451899
"11",0.00398349
"12",0.00254691
"13",0.00155208
"14",0.00463009
"15",0.00202706
"16",0.00276364
"17",0.000179517
"18",0.00464916
"19",0.000799411
"20",0.00155192
"21",0.00141957
"22",0.00137828
"23",0.000536598
"24",0.00261926
"25",0.00124359
"26",0.0002734
"27",0.00343948
"28",0.00682648
"29",0.00905371
"30",0.000702373
"31",0.000335016
"32",0.00200287
"33",0.000952409
"34",0.000461931
"35",0.00116078
"36",0.00154212
"37",0.00287944
"38",0.00306076
"39",0.00196182
"40",0.00173123
"41",0.00764037
"42",0.00521794
"43",0.00474992
"44",0.00609262
"45",0.0029639
"46",0.00280996
"47",0.00194023
"48",0.00214883
"49",0.000415602
"50",0.00271459
"51",0.000568063
"52",0.00042988
"53",0.00489315
"54",0.00113431
"55",0.00140828
"56",0.000718049
"57",0.000186974
"58",0.0010344
"59",0.00334836
"60",0.000762237
"61",0.000375075
"62",0.00333301
"63",0.000224772
"64",0.00525112
"65",0.00592177
"66",0.00519945
"67",0.000738053
"68",0.00737023
"69",0.006981
"70",0.00626469
"71",0.000764865
"72",0.000378395
"73",0.00146586
"74",0.0019497
"75",0.00659154
"76",0.00369994
"77",0.000523586
"78",0.00149028
"79",0.00182866
"80",0.00588831
"81",0.000927253
"82",5.16808e-05
"83",0.00723289
"84",0.00267158
"85",0.000540068
"86",0.0010467
"87",0.00660914
"88",0.00740943
"89",0.00196369
"90",0.00172526
"91",0.00103905
"92",0.000924495
"93",0.00145012
"94",0.000597949
"95",0.00234133
"96",0.00255073
"97",0.000240267
"98",0.00280922
"99",0.00214956
"100",0.00340362
"101",0.00387582
"102",0.00553421
"103",0.00118805
"104",2.87219e-05
"105",0.00139228
"106",0.00104309
"107",0.000769635
"108",0.00275454
"109",0.00622814
"110",0.00495627
"111",0.00177391
"112",0.00215949
"113",0.00265964
"114",0.00646182
"115",0.00783315
"116",0.00365679
"117",0.00931344
"118",0.00357908
"119",0.00497988
"120",0.00240769
"121",0.000857023
"122",0.00232272
"123",0.00177094
"124",0.000352966
"125",0.00249988
"126",0.00026496
"127",0.00100925
"128",0.00484115
"129",0.00147522
"130",0.000350076
"131",0.00115468
"132",0.000213697
"133",0.0012344
"134",0.00106544
"135",0.00405789
"136",0.00666949
"137",0.00383864
"138",0.000787127
"139",0.0014849
"140",0.000347151
"141",0.000820311
"142",0.000546866
"143",0.000286242
"144",0.00387114
"145",0.00495903
"146",0.000328109
"147",5.70051e-05
"148",0.000413511
"149",0.00094378
"150",0.0069867
"151",0.0106117
"152",0.00650513
"153",0.000980611
"154",0.00137542
"155",0.000305382
"156",0.00190167
"157",0.00352816
"158",0.00312782
"159",0.00219995
"160",0.00314752
"161",0.0027888
"162",0.00353281
"163",0.00337228
"164",0.00452587
"165",0.00714433
"166",0.00342292
"167",0.00335538
"168",0.00271665
"169",0.00390633
"170",0.00405968
"171",0.00294781
"172",0.00594612
"173",0.000606764
"174",0.00373849
"175",5.08321e-05
"176",0.00213077
"177",0.00236334
"178",0.00125505
"179",0.00330622
"180",0.000902621
"181",0.00776785
"182",0.00241507
"183",4.08907e-05
"184",0.00145003
"185",0.00263725
"186",0.00595331
"187",0.00180241
"188",0.000473704
"189",0.00405207
"190",0.0037776
"191",0.00181357
"192",0.00191113
"193",0.000381975
"194",0.000930904
"195",0.00644109
"196",0.00144443
