"","x"
"1",-3.0853
"2",-2.97447
"3",-2.95195
"4",-3.04363
"5",-2.9064
"6",-2.86596
"7",-2.73606
"8",-2.71227
"9",-2.69307
"10",-2.71065
"11",-2.70663
"12",-2.49609
"13",-2.55271
"14",-2.57532
"15",-2.78068
"16",-2.74231
"17",-2.92016
"18",-2.99132
"19",-3.25415
"20",-3.30426
"21",-3.35444
"22",-3.44105
"23",-3.48547
"24",-3.53279
"25",-3.42355
"26",-3.42463
"27",-3.42441
"28",-3.43355
"29",-3.40041
"30",-3.43055
"31",-3.47484
"32",-3.44453
"33",-3.48541
"34",-3.62246
"35",-3.62372
"36",-3.55445
"37",-3.47542
"38",-3.5648
"39",-3.49621
"40",-3.45344
"41",-3.51377
"42",-3.4888
"43",-3.65815
"44",-3.76
"45",-3.64931
"46",-3.64319
"47",-3.59489
"48",-3.54639
"49",-3.36107
"50",-3.35732
"51",-3.3795
"52",-3.39376
"53",-3.51516
"54",-3.5612
"55",-3.57683
"56",-3.52785
"57",-3.42476
"58",-3.43918
"59",-3.44694
"60",-3.52765
"61",-3.3915
"62",-3.48956
"63",-3.63276
"64",-3.5638
"65",-3.65368
"66",-3.788
"67",-3.84548
"68",-3.87643
"69",-3.88432
"70",-3.99463
"71",-4.01914
"72",-3.92819
"73",-3.98556
"74",-4.23425
"75",-4.39748
"76",-4.37768
"77",-4.48362
"78",-4.52198
"79",-4.60307
"80",-4.58664
"81",-4.59808
"82",-4.69888
"83",-4.71245
"84",-4.59321
"85",-4.52004
"86",-4.48751
"87",-4.56265
"88",-4.57148
"89",-4.65472
"90",-4.68203
"91",-4.87561
"92",-4.92856
"93",-5.11277
"94",-5.05758
"95",-4.97853
"96",-4.90305
"97",-4.92092
"98",-4.81091
"99",-4.70994
"100",-4.9474
"101",-4.87644
"102",-4.88582
"103",-4.85554
"104",-4.70927
"105",-4.57605
"106",-4.57867
"107",-4.45333
"108",-4.53721
"109",-4.66191
"110",-4.52955
"111",-4.48836
"112",-4.44425
"113",-4.64634
"114",-4.61309
"115",-4.65264
"116",-4.59208
"117",-4.89351
"118",-4.84614
"119",-4.90027
"120",-4.95054
"121",-4.93662
"122",-4.93571
"123",-4.95559
"124",-5.06684
"125",-5.02594
"126",-4.98782
"127",-5.07161
"128",-5.15097
"129",-5.32588
"130",-5.43716
"131",-5.42928
"132",-5.47445
"133",-5.38678
"134",-5.37398
"135",-5.349
"136",-5.24073
"137",-5.28534
"138",-5.29785
"139",-5.20819
"140",-5.17851
"141",-5.20064
"142",-5.23961
"143",-5.15922
"144",-5.10413
"145",-5.12759
"146",-5.06277
"147",-5.05822
"148",-5.1103
"149",-5.04697
"150",-5.06774
"151",-5.10081
"152",-5.08043
"153",-4.94073
"154",-4.93629
"155",-4.80392
"156",-4.65988
"157",-4.71109
"158",-4.79419
"159",-4.65189
"160",-4.68624
"161",-4.61798
"162",-4.62105
"163",-4.60611
"164",-4.67987
"165",-4.50476
"166",-4.57765
"167",-4.5186
"168",-4.43647
"169",-4.41923
"170",-4.41826
"171",-4.25581
"172",-4.23398
"173",-4.22503
"174",-4.21931
"175",-4.19875
"176",-4.1395
"177",-4.19842
"178",-3.98653
"179",-3.84473
"180",-3.94844
"181",-3.84961
"182",-3.85391
"183",-3.93862
"184",-3.8628
"185",-3.84227
"186",-3.76336
"187",-3.88553
"188",-3.9471
"189",-4.1312
"190",-4.10948
"191",-4.07688
"192",-4.09385
"193",-4.18009
"194",-4.19765
"195",-4.14804
"196",-4.12735
"197",-4.19885
"198",-4.0685
"199",-3.85019
"200",-3.80113
"201",-3.8748
"202",-3.80388
"203",-3.69175
"204",-3.73312
"205",-3.72912
"206",-3.75659
"207",-3.7803
"208",-3.81521
"209",-3.75432
"210",-3.66719
"211",-3.68518
"212",-3.65537
"213",-3.69458
"214",-4.00918
"215",-3.97699
"216",-4.03448
"217",-4.02396
"218",-4.0498
"219",-3.90124
"220",-3.8691
"221",-3.74052
"222",-3.64654
"223",-3.43813
"224",-3.38972
"225",-3.3776
"226",-3.36669
"227",-3.32136
"228",-3.40397
"229",-3.42919
"230",-3.44039
"231",-3.61607
"232",-3.52629
"233",-3.50974
"234",-3.36741
"235",-3.38555
"236",-3.33292
"237",-3.37781
"238",-3.43471
"239",-3.29249
"240",-3.32802
"241",-3.40457
"242",-3.30845
"243",-3.36377
"244",-3.45883
"245",-3.45656
"246",-3.33854
"247",-3.39489
"248",-3.4183
"249",-3.36274
"250",-3.27974
"251",-3.18334
"252",-3.19518
"253",-3.20841
"254",-3.21145
"255",-3.29027
"256",-3.32831
"257",-3.33715
"258",-3.48171
"259",-3.36221
"260",-3.3702
"261",-3.2588
"262",-3.30472
"263",-3.31343
"264",-3.45204
"265",-3.46353
"266",-3.60399
"267",-3.59686
"268",-3.57891
"269",-3.66486
"270",-3.64996
"271",-3.72846
"272",-3.65835
"273",-3.61733
"274",-3.71423
"275",-3.78329
"276",-3.70334
"277",-3.6869
"278",-3.69645
"279",-3.75515
"280",-3.85584
"281",-3.86718
"282",-3.85586
"283",-3.87572
"284",-3.81397
"285",-3.77971
"286",-3.63734
"287",-3.56395
"288",-3.47263
"289",-3.4114
"290",-3.32067
"291",-3.18287
"292",-3.15885
"293",-3.07186
"294",-3.04046
"295",-3.03523
"296",-3.07796
"297",-3.20729
"298",-3.16497
"299",-3.06982
"300",-3.00587
"301",-2.98455
"302",-2.94034
"303",-2.97171
"304",-2.811
"305",-2.87103
"306",-2.98126
"307",-2.93752
"308",-2.93123
"309",-2.91761
"310",-2.88632
"311",-3.09123
"312",-3.03743
"313",-2.88518
"314",-2.79151
"315",-2.79332
"316",-2.7868
"317",-2.72977
"318",-2.50929
"319",-2.30179
"320",-2.31993
"321",-2.32106
"322",-2.38044
"323",-2.56169
"324",-2.54091
"325",-2.50159
"326",-2.56126
"327",-2.64301
"328",-2.60797
"329",-2.55834
"330",-2.65106
"331",-2.62327
"332",-2.42173
"333",-2.41967
"334",-2.38164
"335",-2.30864
"336",-2.26418
"337",-2.40351
"338",-2.39366
"339",-2.38541
"340",-2.5635
"341",-2.64124
"342",-2.62199
"343",-2.54155
"344",-2.85439
"345",-2.84191
"346",-2.79151
"347",-2.71596
"348",-2.68634
"349",-2.69399
"350",-2.68929
"351",-2.63343
"352",-2.65128
"353",-2.72951
"354",-2.80781
"355",-2.86667
"356",-2.85266
"357",-2.97118
"358",-3.08247
"359",-3.29416
"360",-3.12732
"361",-3.14755
"362",-3.24711
"363",-3.24665
"364",-3.34244
"365",-3.30191
"366",-3.40108
"367",-3.34897
"368",-3.3105
"369",-3.30838
"370",-3.39629
"371",-3.46154
"372",-3.47255
"373",-3.41882
"374",-3.45051
"375",-3.57222
"376",-3.66933
"377",-3.63344
"378",-3.57321
"379",-3.79536
"380",-3.74859
"381",-3.69319
"382",-3.6702
"383",-3.84086
"384",-3.87281
"385",-3.82009
"386",-3.78292
"387",-3.94099
"388",-3.98121
"389",-3.85726
"390",-3.80936
"391",-3.61938
"392",-3.67427
"393",-3.6754
"394",-3.71761
"395",-3.85673
"396",-3.94862
"397",-3.97318
"398",-3.94623
"399",-3.93974
"400",-3.98575
"401",-4.02049
"402",-3.79811
"403",-3.65933
"404",-3.71498
"405",-3.63041
"406",-3.68519
"407",-3.73875
"408",-3.79821
"409",-3.76467
"410",-3.69154
"411",-3.7639
"412",-3.6999
"413",-3.69395
"414",-3.68072
"415",-3.65737
"416",-3.6136
"417",-3.55975
"418",-3.54831
"419",-3.49966
"420",-3.53711
"421",-3.71567
"422",-3.69863
