"","x"
"1",0.00205779
"2",0.00177329
"3",0.000179154
"4",0.000487345
"5",0.00208104
"6",0.00115884
"7",0.000972532
"8",0.000673253
"9",4.67798e-05
"10",0.000971009
"11",0.000628097
"12",0.000655457
"13",7.27124e-05
"14",0.00041286
"15",0.000472105
"16",0.000499675
"17",6.27674e-05
"18",1.93009e-05
"19",1.41302e-05
"20",0.000394048
"21",0.00171258
"22",0.000102698
"23",0.000391772
"24",0.000326449
"25",1.65952e-05
"26",0.000201605
"27",0.000555997
"28",0.00305038
"29",0.000548807
"30",0.000163868
"31",0.00105879
"32",0.00106603
"33",9.49226e-06
"34",0.0007281
"35",0.00045261
"36",0.000969301
"37",0.000901675
"38",0.0025515
"39",0.00209548
"40",0.00253526
"41",0.00272791
"42",0.00283939
"43",0.00185713
"44",0.00106809
"45",0.00128394
"46",0.000319875
"47",0.00109222
"48",0.000222582
"49",0.000657946
"50",3.15332e-05
"51",0.00169505
"52",0.00170698
"53",0.000745272
"54",0.000747877
"55",0.00431879
"56",0.00302428
"57",0.00142869
"58",0.000213918
"59",0.000136196
"60",0.000786343
"61",0.00044772
"62",0.00149821
"63",0.00164911
"64",0.00293418
"65",0.00198589
"66",0.000328984
"67",0.00254377
"68",0.00301802
"69",0.00483993
"70",0.00485228
"71",6.09932e-05
"72",0.00234521
"73",0.00193584
"74",9.16664e-05
"75",0.000179158
"76",0.00022981
"77",0.00105201
"78",0.00192109
"79",0.000675079
"80",0.00042676
"81",0.00150356
"82",0.000194458
"83",0.000360961
"84",0.000236509
"85",0.0027925
"86",0.000461206
"87",0.000615517
"88",0.000660229
"89",4.17818e-05
"90",0.000994937
"91",0.000545423
"92",0.000224561
"93",0.000445227
"94",0.0031001
"95",0.00208241
"96",0.00025498
"97",0.000209433
"98",0.000245513
"99",0.000736966
"100",0.00132077
"101",0.000254979
"102",0.00010793
"103",0.000851434
"104",0.0019128
"105",0.00145905
"106",0.000702196
"107",0.00108129
"108",0.00139518
"109",0.00181987
"110",0.000749788
"111",0.00219386
"112",0.000266581
"113",0.000681528
"114",5.2194e-05
"115",0.000739867
"116",0.000783846
"117",0.00141286
"118",0.00102628
"119",0.000368394
"120",0.000888772
"121",9.92681e-05
"122",0.00135607
"123",0.00338114
"124",0.000911217
"125",0.00323133
"126",0.000283916
"127",0.000423751
"128",0.000224016
"129",1.99644e-05
"130",0.00232531
"131",0.00723736
"132",0.000296499
"133",0.000664219
"134",0.00127118
"135",0.00171341
"136",3.52916e-05
"137",0.00232595
"138",0.000939619
"139",0.00194578
"140",0.00039317
"141",0.000861282
"142",0.000162074
"143",0.00079042
"144",0.00163718
"145",0.00167491
"146",0.000782261
"147",0.00347795
"148",0.00300811
"149",0.00094017
"150",2.80869e-06
"151",0.000267982
"152",0.000553608
"153",0.00245709
"154",0.00209454
"155",0.0013207
"156",0.000473568
"157",0.00202634
"158",0.00133454
"159",0.0003614
"160",0.000281668
"161",0.0013081
"162",0.000379841
"163",0.00158359
"164",0.00176003
"165",0.0019973
"166",0.00182598
"167",0.0025924
"168",0.0024692
"169",0.000523064
"170",0.00074368
"171",0.000420458
"172",0.000248946
"173",0.000200928
"174",0.00180886
"175",0.000575777
"176",0.000757272
"177",0.00124141
"178",3.94458e-05
"179",0.000124241
"180",0.000614706
"181",0.000613849
"182",0.000782715
"183",0.0014734
"184",0.00138832
"185",0.00188309
"186",0.00173864
"187",0.00069372
"188",0.000456799
"189",0.000954937
"190",0.000958598
"191",0.00118983
"192",0.000296494
"193",0.000669595
"194",0.000401072
"195",0.000883474
"196",0.00178864
"197",0.00177626
"198",0.000657675
"199",0.000981222
"200",0.000298245
"201",0.00198181
"202",0.000339723
"203",0.000500846
"204",0.000669368
"205",0.00194018
"206",6.88377e-05
"207",3.6883e-05
"208",0.0016368
"209",0.00324212
"210",0.00275801
"211",0.00183128
"212",0.00055247
"213",0.00188014
"214",0.000885299
"215",0.00077565
"216",0.00136975
"217",0.000512622
"218",0.00119085
"219",0.00195286
"220",0.00171805
"221",0.00299775
"222",0.000892
"223",0.000663784
"224",0.000757882
"225",0.000968497
"226",0.00119761
"227",0.000970073
"228",0.000259582
"229",0.00166099
"230",0.000314364
"231",0.000136808
"232",0.00199685
"233",0.000300923
"234",2.10563e-05
"235",0.00303719
"236",0.00141274
"237",0.0013226
"238",0.00288734
"239",0.00216981
"240",0.00151403
"241",0.00196901
"242",0.00375667
"243",0.000145357
"244",0.00220388
"245",1.68457e-05
"246",0.000653685
"247",0.00168653
"248",6.79007e-05
"249",0.000244056
"250",3.95412e-05
"251",0.000263515
"252",0.00050203
"253",0.00234354
"254",0.00114833
"255",0.00189755
"256",0.000839911
"257",0.000181589
"258",0.00316872
"259",0.00313023
"260",3.26385e-05
"261",0.000469286
"262",0.000839016
"263",0.00332909
"264",0.00238698
"265",0.00109316
"266",0.000899964
"267",0.000699753
"268",0.00180472
"269",0.00134733
"270",0.00065461
"271",0.003309
"272",0.00201478
"273",0.00103109
"274",0.000272349
"275",0.00124658
"276",0.000410459
"277",0.000270854
"278",9.01536e-05
"279",0.000103317
"280",0.00107272
"281",0.000747463
"282",0.000850691
"283",0.000534785
"284",0.00198345
"285",0.000635428
"286",0.000918572
"287",0.000617719
"288",0.00277424
"289",0.00369002
"290",0.00133533
"291",0.00131809
"292",0.00251911
"293",0.00315561
"294",0.000945673
"295",0.00118037
"296",0.00131741
"297",0.0015547
"298",0.00120311
"299",0.00124049
"300",0.000329817
"301",0.0014215
"302",0.000205646
"303",0.000781281
"304",0.00200878
"305",0.00141829
"306",0.00307124
"307",0.00188395
"308",0.00108934
"309",0.00171692
"310",0.00220236
"311",0.000729473
"312",0.00184543
"313",0.00401213
"314",0.000613368
"315",0.00380789
"316",0.00435603
"317",0.00210013
"318",0.000845958
"319",0.00113554
"320",0.00108763
"321",0.000370401
"322",0.00236699
"323",0.00314786
"324",0.00399989
"325",0.000608969
"326",0.00305947
"327",0.000429981
"328",0.000608812
"329",0.000482649
"330",0.000466739
"331",0.000267304
"332",0.00170981
"333",0.00225827
"334",0.00314388
"335",0.000366939
"336",0.000514289
"337",0.000414952
"338",0.000964873
"339",0.00260576
"340",0.00408798
