"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"beta0",-4.84771877544347,-4.1713,-2.83813997731783,1734.1,0.95,-17.4444,7.05216,NA,NA,NA,NA,NA,NA,NA
"beta[1]",0.3721459014,0.370821,0.370263135900029,8407.5,0.95,0.241564,0.509349,NA,NA,NA,NA,NA,NA,NA
"beta[2]",3.42578414654983,2.21174,0.0763744472622179,11988.5,0.95,-11.2127,19.9963,NA,NA,NA,NA,NA,NA,NA
"beta[3]",-0.00387168209570133,-0.00176486,-0.00179966594821873,25.2,0.95,-0.0299448,0.0038425,NA,NA,NA,NA,NA,NA,NA
"beta[4]",0.136879589586667,0.1370385,0.13818588385951,1805.4,0.95,0.0929866,0.179928,NA,NA,NA,NA,NA,NA,NA
"beta[5]",-3.46589515933333,-3.457515,-3.45163925402739,369.9,0.95,-3.95636,-3.01633,NA,NA,NA,NA,NA,NA,NA
"beta[6]",0.5489981334084,0.6920015,0.738412040595975,364.8,0.95,-2.77222,1.90796,NA,NA,NA,NA,NA,NA,NA
"beta[7]",-3.40530036133333,-3.383345,-3.42645272660919,69.8,0.95,-5.00963,-2.14988,NA,NA,NA,NA,NA,NA,NA
"beta[8]",-2.90254459266612e-05,0.130487,0.223213724498574,256.8,0.95,-7.32575,6.7704,NA,NA,NA,NA,NA,NA,NA
"zbeta0",-3.70592319333333,-3.70533,-3.70723143241826,2011.1,0.95,-3.8065,-3.60661,NA,NA,NA,NA,NA,NA,NA
"zbeta[1]",0.143651189473333,0.14314,0.142924433496732,8407.5,0.95,0.0932455,0.196613,NA,NA,NA,NA,NA,NA,NA
"zbeta[2]",0.834014380339741,0.5384525,0.0185923545749542,11988.5,0.95,-2.72975,4.86814,NA,NA,NA,NA,NA,NA,NA
"zbeta[3]",-0.352330263357,-0.1606055,-0.163772150781244,25.2,0.95,-2.72503,0.349674,NA,NA,NA,NA,NA,NA,NA
"zbeta[4]",0.144980942893333,0.1451495,0.146364508779112,1805.4,0.95,0.0984901,0.190578,NA,NA,NA,NA,NA,NA,NA
"zbeta[5]",-0.5356238442,-0.5343285,-0.53342092878443,369.9,0.95,-0.61142,-0.466147,NA,NA,NA,NA,NA,NA,NA
"zbeta[6]",0.370161552942853,0.466581,0.497864739230216,364.8,0.95,-1.86917,1.28644,NA,NA,NA,NA,NA,NA,NA
"zbeta[7]",-1.41025590413333,-1.40116,-1.4190156047435,69.8,0.95,-2.07466,-0.890342,NA,NA,NA,NA,NA,NA,NA
"zbeta[8]",-1.16697925666694e-05,0.0524198,0.0896834400991766,256.8,0.95,-2.94294,2.71984,NA,NA,NA,NA,NA,NA,NA
"delta0",1,1,0.9992278092193,0,0.95,1,1,NA,NA,NA,NA,NA,NA,NA
"delta[1]",1,1,0.9992278092193,0,0.95,1,1,NA,NA,NA,NA,NA,NA,NA
"delta[2]",0.148933333333333,0,-0.000106690830358386,1925.9,0.95,0,1,NA,NA,NA,NA,NA,NA,NA
"delta[3]",0.905866666666667,1,0.999648260767001,55,0.95,0,1,NA,NA,NA,NA,NA,NA,NA
"delta[4]",1,1,0.9992278092193,0,0.95,1,1,NA,NA,NA,NA,NA,NA,NA
"delta[5]",1,1,0.9992278092193,0,0.95,1,1,NA,NA,NA,NA,NA,NA,NA
"delta[6]",0.8744,1,0.99992576242689,137.9,0.95,0,1,NA,NA,NA,NA,NA,NA,NA
"delta[7]",1,1,0.9992278092193,0,0.95,1,1,NA,NA,NA,NA,NA,NA,NA
"delta[8]",0.5574,1,0.999864692727064,204.6,0.95,0,1,NA,NA,NA,NA,NA,NA,NA
"guess",0.00131859090155997,0.000918955,0.00025253641258435,5490.4,0.95,2.35135e-08,0.00388367,NA,NA,NA,NA,NA,NA,NA
