"","x"
"1",0.101461
"2",0.147347
"3",0.129201
"4",0.142337
"5",0.0981383
"6",0.0748457
"7",0.143354
"8",0.0848792
"9",0.105178
"10",0.12385
"11",0.0862089
"12",0.165628
"13",0.144072
"14",0.13164
"15",0.149921
"16",0.139854
"17",0.125455
"18",0.14742
"19",0.088236
"20",0.163774
"21",0.127527
"22",0.150866
"23",0.100837
"24",0.154854
"25",0.112855
"26",0.139943
"27",0.166771
"28",0.120534
"29",0.124463
"30",0.171939
"31",0.108141
"32",0.116019
"33",0.132173
"34",0.146842
"35",0.15918
"36",0.15543
"37",0.118384
"38",0.133199
"39",0.127744
"40",0.139587
"41",0.148418
"42",0.104499
"43",0.111422
"44",0.154659
"45",0.115874
"46",0.148208
"47",0.0512728
"48",0.103871
"49",0.109956
"50",0.140254
"51",0.11334
"52",0.161818
"53",0.127801
"54",0.116079
"55",0.0949907
"56",0.107638
"57",0.117943
"58",0.105983
"59",0.10511
"60",0.107098
"61",0.101986
"62",0.115518
"63",0.0981749
"64",0.106148
"65",0.152317
"66",0.11061
"67",0.108613
"68",0.130773
"69",0.188822
"70",0.144336
"71",0.086121
"72",0.109612
"73",0.14555
"74",0.153511
"75",0.104444
"76",0.129512
"77",0.125577
"78",0.0983027
"79",0.132026
"80",0.181715
"81",0.178581
"82",0.14176
"83",0.135014
"84",0.114138
"85",0.126283
"86",0.107542
"87",0.124798
"88",0.102902
"89",0.0953836
"90",0.131055
"91",0.148542
"92",0.112276
"93",0.123324
"94",0.109189
"95",0.096274
"96",0.123674
"97",0.11684
"98",0.135167
"99",0.164254
"100",0.150261
"101",0.142934
"102",0.117695
"103",0.134012
"104",0.162946
"105",0.131183
"106",0.109522
"107",0.118209
"108",0.0992526
"109",0.111578
"110",0.148552
"111",0.156977
"112",0.141675
"113",0.124023
"114",0.143218
"115",0.135651
"116",0.121951
"117",0.0970182
"118",0.101999
"119",0.138382
"120",0.148425
"121",0.147515
"122",0.127085
"123",0.120439
"124",0.122766
"125",0.15342
"126",0.0906454
"127",0.138531
"128",0.110127
"129",0.127119
"130",0.120387
"131",0.061475
"132",0.122504
"133",0.148747
"134",0.165144
"135",0.153385
"136",0.16611
"137",0.101667
"138",0.118678
"139",0.13274
"140",0.168868
"141",0.108807
"142",0.0846374
"143",0.130864
"144",0.126819
"145",0.127744
"146",0.117408
"147",0.174696
"148",0.111364
"149",0.119447
"150",0.151577
"151",0.130482
"152",0.14362
"153",0.108354
"154",0.121936
"155",0.122758
"156",0.0759453
"157",0.094685
"158",0.103715
"159",0.168625
"160",0.124153
"161",0.155072
"162",0.11859
"163",0.100323
"164",0.137228
"165",0.116634
"166",0.12263
"167",0.102698
"168",0.097725
"169",0.129378
"170",0.120692
"171",0.123605
"172",0.128151
"173",0.13749
"174",0.118855
"175",0.159233
"176",0.112055
"177",0.144929
"178",0.110296
"179",0.114615
"180",0.140307
"181",0.150397
"182",0.108477
"183",0.155274
"184",0.138793
"185",0.164337
"186",0.155165
"187",0.132345
"188",0.145236
"189",0.157073
"190",0.103255
"191",0.129659
"192",0.119491
"193",0.134149
"194",0.166752
"195",0.162641
"196",0.106124
"197",0.12538
"198",0.158772
"199",0.158932
"200",0.0898096
"201",0.0907608
"202",0.115195
"203",0.146886
"204",0.169807
"205",0.169976
"206",0.150611
"207",0.0648616
"208",0.0977825
"209",0.0978978
"210",0.106248
"211",0.149774
"212",0.153303
"213",0.110518
"214",0.10826
"215",0.0757499
"216",0.0994246
"217",0.169982
"218",0.161305
"219",0.167903
"220",0.141007
"221",0.138153
"222",0.108179
"223",0.140248
"224",0.109754
"225",0.116645
"226",0.133047
"227",0.138532
"228",0.146623
"229",0.113999
"230",0.149018
"231",0.142078
"232",0.120236
"233",0.131011
"234",0.114466
"235",0.109745
"236",0.109006
"237",0.109799
"238",0.105486
"239",0.130646
"240",0.140339
"241",0.132905
"242",0.134101
"243",0.0879029
"244",0.14177
"245",0.125293
"246",0.12861
"247",0.123412
"248",0.128029
"249",0.131557
"250",0.131995
"251",0.107608
"252",0.11469
"253",0.163182
"254",0.170824
"255",0.114872
"256",0.134737
"257",0.143838
"258",0.137009
"259",0.136016
"260",0.134218
"261",0.10433
"262",0.125824
"263",0.164754
"264",0.114183
"265",0.117652
"266",0.151238
"267",0.107028
"268",0.113537
"269",0.142742
"270",0.129447
"271",0.123983
"272",0.13505
"273",0.162903
"274",0.11103
"275",0.120611
"276",0.125242
"277",0.13059
"278",0.11658
"279",0.0921155
"280",0.113053
"281",0.0910608
"282",0.147258
"283",0.126819
"284",0.153012
"285",0.136351
"286",0.104522
"287",0.160557
"288",0.133621
"289",0.125043
"290",0.134918
"291",0.163469
"292",0.165442
"293",0.152477
"294",0.170244
"295",0.102981
"296",0.153013
"297",0.112697
"298",0.112241
"299",0.116628
"300",0.130497
"301",0.11486
"302",0.16196
"303",0.127937
"304",0.169877
"305",0.121639
"306",0.146027
"307",0.141013
"308",0.133625
"309",0.121431
"310",0.144979
"311",0.145051
"312",0.153199
"313",0.115319
"314",0.141076
"315",0.133688
"316",0.12975
"317",0.117335
"318",0.128781
"319",0.124408
"320",0.150714
"321",0.133621
"322",0.121099
"323",0.137039
"324",0.0834427
"325",0.135133
"326",0.124168
"327",0.125752
"328",0.14073
"329",0.158249
"330",0.110579
"331",0.178651
"332",0.145248
"333",0.14811
"334",0.165112
"335",0.130347
"336",0.160919
"337",0.133624
"338",0.0748322
"339",0.085182
"340",0.132261
"341",0.116295
"342",0.136068
"343",0.125052
"344",0.110576
"345",0.168815
"346",0.104044
"347",0.118321
"348",0.101764
"349",0.124485
"350",0.157115
"351",0.131614
"352",0.119269
"353",0.133518
"354",0.140822
"355",0.127068
"356",0.159176
"357",0.183468
"358",0.128752
"359",0.136646
"360",0.115546
"361",0.100298
"362",0.0650896
"363",0.111711
"364",0.0977254
"365",0.0911997
"366",0.134037
"367",0.124498
"368",0.128726
"369",0.123122
"370",0.137023
"371",0.109302
"372",0.129985
"373",0.128516
"374",0.111831
"375",0.141143
"376",0.138232
"377",0.106516
"378",0.123115
"379",0.139699
"380",0.106362
"381",0.0986567
"382",0.0996776
"383",0.151418
"384",0.141512
"385",0.10762
"386",0.107403
"387",0.121246
"388",0.130853
"389",0.134052
"390",0.122048
"391",0.166003
"392",0.133277
"393",0.160433
"394",0.155989
"395",0.128202
"396",0.122378
"397",0.125022
"398",0.120525
"399",0.148064
"400",0.109109
"401",0.129194
"402",0.159597
