"","x"
"1",0.00301422
"2",0.00601011
"3",0.00602751
"4",0.00306054
"5",0.000410701
"6",0.000368954
"7",0.000461931
"8",7.39421e-05
"9",0.00156938
"10",0.000518074
"11",1.59997e-05
"12",0.000314295
"13",0.000772943
"14",0.00255771
"15",4.54263e-05
"16",0.000133269
"17",5.76017e-05
"18",0.000746795
"19",0.000804786
"20",0.000106105
"21",5.00685e-05
"22",0.000150866
"23",0.00105536
"24",0.00091952
"25",0.000106128
"26",0.000725337
"27",0.000388053
"28",0.000993157
"29",0.000729739
"30",0.000758445
"31",0.000103927
"32",0.000726563
"33",0.000422029
"34",0.00215174
"35",0.00262898
"36",0.00085874
"37",0.00266734
"38",0.00102244
"39",0.000594409
"40",0.00246288
"41",0.000323741
"42",0.00166921
"43",0.00190845
"44",0.00194649
"45",0.00154977
"46",0.00147415
"47",0.00071893
"48",0.00100729
"49",0.000276237
"50",0.000272523
"51",0.000476926
"52",0.00314385
"53",0.000218006
"54",0.000829665
"55",0.00088667
"56",0.00236643
"57",0.000409922
"58",0.000569526
"59",0.00234564
"60",0.00206264
"61",0.00160209
"62",0.00064574
"63",0.0014302
"64",0.000560625
"65",0.000403163
"66",0.000777914
"67",0.000333762
"68",0.000880023
"69",0.00171307
"70",0.00220465
"71",0.00147284
"72",8.99695e-05
"73",0.00173239
"74",0.000763383
"75",0.000143876
"76",0.000544953
"77",0.000211003
"78",0.0018559
"79",0.00265872
"80",0.00254567
"81",0.0032947
"82",0.00143792
"83",0.00196731
"84",0.000747777
"85",0.00109902
"86",6.05493e-05
"87",0.000221211
"88",0.00076507
"89",0.000834527
"90",0.00145131
"91",0.000476048
"92",0.00130015
"93",0.000392196
"94",0.000446455
"95",0.000324155
"96",0.000263691
"97",9.01419e-05
"98",0.000223845
"99",6.76856e-05
"100",0.000629437
"101",0.000557439
"102",0.000849354
"103",0.000217726
"104",0.000600066
"105",0.00139523
"106",0.00110622
"107",0.00116928
"108",0.000389666
"109",0.000433123
"110",0.000541927
"111",0.000758674
"112",0.000834872
"113",0.00111924
"114",0.00164907
"115",7.31535e-05
"116",0.000676694
"117",0.000530783
"118",0.000562355
"119",8.50567e-06
"120",0.000554838
"121",0.000114197
"122",0.000756088
"123",0.000701442
"124",0.00167893
"125",0.000641479
"126",0.000675673
"127",0.000528435
"128",0.00145179
"129",0.00167897
"130",0.00512321
"131",0.00114309
"132",0.00152333
"133",0.0013703
"134",0.00400668
"135",0.00344647
"136",0.00106119
"137",3.43459e-05
"138",0.00226797
"139",0.0020781
"140",0.00164228
"141",0.000788505
"142",0.000441786
"143",0.000524685
"144",2.08584e-05
"145",0.00119053
"146",0.000214667
"147",0.00049419
"148",0.000158963
"149",0.00104717
"150",0.00367742
"151",0.00479081
"152",0.00526092
"153",0.00302308
"154",0.00348793
