"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"beta0",-5.1145899528172,-3.817645,-2.95475708382748,1946.6,0.95,-17.286,6.0741,NA,NA,NA,NA,NA,NA,NA
"beta[1]",0.378044827,0.375979,0.371922211095919,4836.2,0.95,0.241291,0.519388,NA,NA,NA,NA,NA,NA,NA
"beta[2]",3.40064498520116,1.579585,0.202256205222742,9283.1,0.95,-10.8463,19.4396,NA,NA,NA,NA,NA,NA,NA
"beta[3]",-0.00303404892535847,-0.00164896,-0.00155880137212064,49,0.95,-0.0324316,0.00462192,NA,NA,NA,NA,NA,NA,NA
"beta[4]",0.13071942114,0.131076,0.13355956241008,1975.9,0.95,0.08729,0.174723,NA,NA,NA,NA,NA,NA,NA
"beta[5]",-3.39746829333333,-3.385155,-3.33220030797769,405.4,0.95,-3.88769,-2.9301,NA,NA,NA,NA,NA,NA,NA
"beta[6]",2.62822607933333,2.62698,2.63000570013991,3180.1,0.95,2.42295,2.83889,NA,NA,NA,NA,NA,NA,NA
"zbeta0",-3.70430239933333,-3.70366,-3.70352082048077,3900.4,0.95,-3.8038,-3.60756,NA,NA,NA,NA,NA,NA,NA
"zbeta[1]",0.145928220713333,0.1451305,0.143564837493542,4836.2,0.95,0.0931401,0.200488,NA,NA,NA,NA,NA,NA,NA
"zbeta[2]",0.82789419077361,0.3845535,0.0492399991947696,9283.1,0.95,-2.64055,4.7326,NA,NA,NA,NA,NA,NA,NA
"zbeta[3]",-0.276104098847333,-0.1500585,-0.141859015534741,49,0.95,-2.95133,0.420603,NA,NA,NA,NA,NA,NA,NA
"zbeta[4]",0.138456178753333,0.138834,0.141464243692102,1975.9,0.95,0.0924564,0.185064,NA,NA,NA,NA,NA,NA,NA
"zbeta[5]",-0.5250490814,-0.5231455,-0.514962760369749,405.4,0.95,-0.600808,-0.452822,NA,NA,NA,NA,NA,NA,NA
"zbeta[6]",1.0558256468,1.055325,1.05653982199235,3180.1,0.95,0.973363,1.14045,NA,NA,NA,NA,NA,NA,NA
"zbeta[7]",-0.527802174265727,-0.5211875,-0.218143479450628,15000,0.95,-4.4598,3.34352,NA,NA,NA,NA,NA,NA,NA
"zbeta[8]",-0.380685770932253,-0.4135605,-0.516067422531707,15000,0.95,-4.3716,3.47835,NA,NA,NA,NA,NA,NA,NA
"delta0",1,1,0.9992278092193,0,0.95,1,1,NA,NA,NA,NA,NA,NA,NA
"delta[1]",1,1,0.9992278092193,0,0.95,1,1,NA,NA,NA,NA,NA,NA,NA
"delta[2]",0.191666666666667,0,-0.00142912001403056,1562.4,0.95,0,1,NA,NA,NA,NA,NA,NA,NA
"delta[3]",0.853,1,0.999516088079725,78.2,0.95,0,1,NA,NA,NA,NA,NA,NA,NA
"delta[4]",1,1,0.9992278092193,0,0.95,1,1,NA,NA,NA,NA,NA,NA,NA
"delta[5]",1,1,0.9992278092193,0,0.95,1,1,NA,NA,NA,NA,NA,NA,NA
"delta[6]",1,1,0.9992278092193,0,0.95,1,1,NA,NA,NA,NA,NA,NA,NA
"delta[7]",0.898733333333333,1,1.00032348994147,14951,0.95,0,1,NA,NA,NA,NA,NA,NA,NA
"delta[8]",0.8992,1,1.00012646157475,15000,0.95,0,1,NA,NA,NA,NA,NA,NA,NA
"guess",0.0012662041237794,0.000889914,0.000234291346083341,5138,0.95,1.67506e-07,0.0037335,NA,NA,NA,NA,NA,NA,NA
