"","x"
"1",1.33003
"2",1.30777
"3",1.2383
"4",1.23723
"5",1.17945
"6",1.18792
"7",1.22798
"8",1.21104
"9",1.16952
"10",1.17123
"11",1.15047
"12",1.1136
"13",1.18272
"14",1.11854
"15",1.04761
"16",1.01286
"17",1.00647
"18",1.03663
"19",0.975662
"20",0.945033
"21",0.98034
"22",1.01709
"23",1.03662
"24",0.957854
"25",0.896975
"26",0.902353
"27",0.891614
"28",0.887594
"29",0.88254
"30",0.844478
"31",0.849839
"32",0.79073
"33",0.829143
"34",0.804429
"35",0.764261
"36",0.731767
"37",0.689167
"38",0.726094
"39",0.711587
"40",0.743912
"41",0.817871
"42",0.784707
"43",0.837777
"44",0.776323
"45",0.726739
"46",0.719302
"47",0.649444
"48",0.656263
"49",0.657356
"50",0.672961
"51",0.647986
"52",0.645683
"53",0.574391
"54",0.578325
"55",0.573097
"56",0.612854
"57",0.651786
"58",0.720148
"59",0.739602
"60",0.697744
"61",0.67055
"62",0.686383
"63",0.659458
"64",0.706187
"65",0.725722
"66",0.808369
"67",0.873559
"68",0.832879
"69",0.834
"70",0.832835
"71",0.83165
"72",0.807171
"73",0.798762
"74",0.812016
"75",0.770082
"76",0.759978
"77",0.732699
"78",0.703971
"79",0.748999
"80",0.683108
"81",0.65639
"82",0.650106
"83",0.629483
"84",0.602862
"85",0.629698
"86",0.54348
"87",0.478108
"88",0.554332
"89",0.561181
"90",0.566454
"91",0.515075
"92",0.489354
"93",0.496812
"94",0.505024
"95",0.48239
"96",0.436072
"97",0.444769
"98",0.462004
"99",0.452697
"100",0.435915
"101",0.412513
"102",0.460606
"103",0.456157
"104",0.416602
"105",0.356992
"106",0.336644
"107",0.35144
"108",0.338222
"109",0.317695
"110",0.305383
"111",0.281771
"112",0.237827
"113",0.242955
"114",0.251679
"115",0.31646
"116",0.23049
"117",0.269503
"118",0.264187
"119",0.26626
"120",0.260403
"121",0.198331
"122",0.154345
"123",0.103556
"124",0.0997175
